epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,52.0793,0.97878,0.58122,1,1.16676,0.000414352,0.000414352,0.000414352
2,100.751,0.54521,0.65228,1,0.92687,0.000556782,0.000556782,0.000556782
3,154.358,0.40791,0.68274,1,0.98091,0.000424213,0.000424213,0.000424213
